1	0	-12
1	29	-16
1	-9	-7
1	28	4
1	-18	-6
1	17	28
1	-20	-10
1	-30	-16
1	12	-6
1	2	-14
1	28	-16
1	21	14
1	-24	19
1	7	-25
1	-25	11
1	15	16
1	-10	-25
1	17	-17
1	-2	-22
1	-7	-4
1	10	-25
1	-11	-4
1	28	15
1	-12	21
1	-21	-29
1	-27	24
1	-18	-8
1	-8	-30
1	11	-6
1	-18	25
1	-20	-21
1	26	-24
1	29	15
1	0	-9
1	2	-9
1	-7	30
1	3	2
1	-1	23
1	-14	-18
1	6	15
1	22	-14
1	-10	-27
1	-1	4
1	22	1
1	10	16
1	31	-24
1	-28	25
1	26	3
1	-27	-13
1	1	4
1	6	-24
1	-5	-8
1	1	10
1	2	-30
1	-19	11
1	5	-11
1	24	-15
1	-24	-7
1	5	9
1	-22	12
1	-5	-8
1	16	-9
2	23	0
2	-20	-13
2	20	27
2	4	-5
2	10	-17
2	26	-5
2	5	-18
2	-20	-20
2	19	31
2	-3	-2
2	0	-27
2	-13	15
2	13	-8
2	16	3
2	-7	24
2	10	16
2	6	-28
2	21	26
2	21	4
2	9	1
2	16	-14
3	-4	24
3	0	-27
3	-17	-26
3	-25	-24
3	-14	31
3	7	11
3	15	6
3	-12	0
3	-20	-24
3	15	-16
3	30	-6
3	11	-22
3	31	16
3	2	15
3	-3	9
3	16	5
3	-30	26
3	21	12
3	17	9
3	-8	-25
3	31	18
3	-26	12
3	7	-23
3	-15	-26
3	-5	19
3	-13	20
3	-1	11
3	18	-15
3	24	23
3	14	-20
3	4	-20
3	9	-5
3	-24	-18
3	-20	28
3	-9	22
3	-8	18
3	-3	1
3	17	28
3	24	4
3	-13	13
3	15	-19
3	20	0
3	29	-27
3	-28	1
3	27	-13
4	-23	7
4	2	-20
4	-21	-4
4	13	-16
4	22	9
4	2	-12
4	5	-3
4	-26	2
4	1	-11
4	18	3
4	-18	-4
4	-3	26
4	28	-18
4	7	-2
4	-22	4
4	30	3
4	31	0
4	6	-21
4	-4	-24
4	25	-9
4	-17	-20
4	-29	30
4	28	-18
4	17	22
4	-12	20
4	18	-13
4	-22	11
4	-5	11
4	30	-9
4	-7	-21
4	24	-27
4	8	-21
4	-19	26
4	0	18
4	18	29
4	25	25
4	9	-20
4	-30	24
4	18	10
4	-4	5
4	2	31
4	27	-18
4	-7	-11
4	-10	20
4	-28	-16
4	-20	18
5	-13	19
5	14	15
5	17	-16
5	26	-14
5	-18	-24
5	20	3
5	8	-9
5	15	-22
5	-18	1
5	7	-19
5	29	27
5	-2	-10
5	-15	24
5	11	-30
5	-15	23
5	-28	9
5	3	16
5	-2	-12
5	13	-17
5	-10	-15
5	-17	8
5	-3	19
5	5	15
5	1	12
5	15	-14
5	-26	7
5	-3	-3
5	-14	23
5	-3	10
5	-28	-8
5	-13	-21
5	-30	5
5	26	-12
5	-4	4
5	-4	16
5	-15	31
5	-6	24
5	20	30
5	4	4
5	-20	-4
5	-9	1
5	-15	14
5	-10	12
5	-25	-25
5	12	6
5	12	-30
5	14	-24
5	6	7
5	14	13
5	-29	-11
5	-20	4
5	13	2
5	20	18
5	-26	4
5	-1	5
5	-23	-27
5	3	11
5	29	-3
5	16	25
5	-4	-8
5	8	-24
5	-12	21
5	-4	-17
5	-26	-14
5	-16	3
5	12	-3
5	-29	28
5	13	-8
5	-3	-16
5	28	-20
5	-6	25
5	5	5
5	4	-28
5	-27	11
5	-13	4
5	20	-27
5	-29	15
5	-10	11
5	-24	16
5	-18	-15
5	-24	-18
5	-22	24
5	21	-27
5	10	1
5	6	-25
5	30	17
5	20	26
5	19	-2
5	20	5
5	18	2
5	16	3
5	16	6
5	23	-10
5	-4	18
5	-26	-26
5	-26	15
5	6	23
5	-29	19
5	14	-2
5	17	-16
5	-15	-7
5	-20	-1
5	-22	-14
5	-19	13
5	-2	2
5	-9	-26
5	1	17
6	27	-11
6	16	20
6	9	25
6	23	31
6	-29	-12
6	-8	21
6	31	29
6	23	-22
6	-13	14
6	-5	-30
6	-1	-25
6	26	-8
6	10	6
6	-10	-21
6	2	26
6	17	-20
6	29	-2
6	19	-26
7	-24	-22
7	-27	20
7	8	-1
7	-25	27
7	25	-19
7	-30	3
7	-19	-10
7	24	20
7	28	17
7	28	-17
7	-2	3
7	-15	20
7	1	29
7	4	0
7	-11	18
7	-16	-10
7	0	-19
7	14	-5
7	-28	-22
7	10	-2
7	-6	-6
7	13	28
7	21	18
7	-27	12
7	19	8
7	8	-27
7	1	-7
7	-5	-16
7	7	19
7	18	-24
7	29	24
7	-29	-22
7	29	17
7	-24	-1
7	5	-24
7	-19	-8
7	-3	-6
7	6	-22
7	8	1
7	-13	-6
7	6	26
7	-5	24
7	-3	-20
7	5	-19
7	-26	-26
7	-24	-22
7	-4	4
7	-2	-25
7	30	-15
7	6	-27
7	12	-20
7	-3	-15
7	-26	3
7	-10	16
7	31	-1
8	20	6
8	-14	-29
8	28	-3
8	27	12
8	8	29
8	-28	-7
8	-11	10
8	-10	-19
8	-18	-7
8	-7	-21
8	20	-27
8	4	0
8	-23	-23
8	29	2
8	-21	-19
8	21	22
8	-29	-22
8	-10	1
8	2	-9
8	-22	14
8	-17	18
8	30	-16
8	18	-5
8	-6	10
8	27	15
8	1	28
8	12	9
8	8	24
8	-13	30
8	-3	-29
