1	232430	37430	77
1	490529	37430	63
1	429507	37430	43
1	386476	37430	36
1	574706	37430	15
1	495356	37430	43
1	629050	37430	72
1	521988	37430	46
1	462386	37430	29
1	306685	37430	49
1	742895	37430	77
1	727569	37430	71
1	614499	37430	78
1	837635	37430	24
1	453346	37430	66
1	375904	37430	22
1	506258	37430	78
1	601292	37430	50
1	456097	37430	71
1	746924	37430	18
1	328093	37430	25
1	488650	37430	76
1	140054	37430	28
1	877061	37430	55
1	143966	37430	57
1	183853	37430	23
1	802132	37430	67
1	651332	37430	43
1	252392	37430	56
2	328093	77418	25
2	183853	70040	23
2	488650	60514	76
2	601292	76251	50
2	727569	91424	71
2	490529	50674	63
2	375904	53587	22
2	837635	61817	24
2	456097	89539	71
2	574706	36492	15
2	464577	55048	74
2	651332	53027	43
2	877061	72672	55
2	143966	87787	57
2	742895	43943	77
2	453346	58227	66
2	429507	65085	43
2	232430	38639	77
2	252392	86971	56
2	386476	78653	36
2	802132	76429	67
2	495356	71530	43
2	140054	73025	28
2	521988	88067	46
2	614499	35129	78
2	506258	63036	78
2	629050	42109	72
2	462386	52230	29
3	802132	76429	67
3	143966	87787	57
3	742895	43943	77
3	629050	42109	72
3	490529	50674	63
3	495356	71530	43
3	837635	61817	24
3	601292	76251	50
3	306685	60972	49
3	462386	52230	29
3	453346	58227	66
3	375904	53587	22
3	252392	86971	56
3	521988	88067	46
3	574706	36492	15
3	746924	90953	18
3	506258	63036	78
3	232430	38639	77
3	464577	55048	74
3	614499	35129	78
3	386476	78653	36
3	727569	91424	71
3	488650	60514	76
3	651332	53027	43
3	877061	72672	55
3	140054	73025	28
3	456097	89539	71
3	183853	70040	23
3	429507	65085	43
3	328093	77418	25
4	746924	90953	18
4	490529	50674	63
4	488650	60514	76
4	252392	86971	56
4	521988	88067	46
4	328093	77418	25
4	386476	78653	36
4	629050	42109	72
4	462386	52230	29
4	802132	76429	67
4	456097	89539	71
4	506258	63036	78
4	601292	76251	50
4	574706	36492	15
4	453346	58227	66
4	143966	87787	57
4	742895	43943	77
4	651332	53027	43
4	232430	38639	77
4	183853	70040	23
4	464577	55048	74
4	429507	65085	43
4	495356	71530	43
4	375904	53587	22
4	727569	91424	71
4	306685	60972	49
4	140054	73025	28
4	614499	35129	78
4	837635	61817	24
5	651332	53027	43
5	306685	60972	49
5	506258	63036	78
5	453346	58227	66
5	746924	90953	18
5	462386	52230	29
5	386476	78653	36
5	328093	77418	25
5	495356	71530	43
5	837635	61817	24
5	488650	60514	76
5	143966	87787	57
5	614499	35129	78
5	375904	53587	22
5	601292	76251	50
5	183853	70040	23
5	232430	38639	77
5	429507	65085	43
5	574706	36492	15
5	521988	88067	46
5	877061	72672	55
5	490529	50674	63
5	456097	89539	71
5	802132	76429	67
5	140054	73025	28
5	464577	55048	74
5	727569	91424	71
